ID,Name,Lat,Long,Alt,1960,1970,1980,1991,2000,2010
3550308,RM Sao Paulo,-23.5673865,-46.57038318,783.615127,3781446,5924615,12588725,15444981,17878703,19672582
3304557,RM Rio de Janeiro,-22.87665212,-43.22787513,11.804057,3307163,4251918,8758420,9796649,10869255,11838752
3106200,RM Belo Horizonte,-19.93752429,-43.92645317,937.528005,683908,1235030,2973102,3910097,4819288,5413627
2927408,RM Salvador,-13.01477191,-38.48806148,5.87215,649453,1007195,2193387,3097459,3797499,4473002
4314902,RM Porto Alegre,-30.03003677,-51.22866046,42.235674,641173,885545,2231392,3026819,3718778,3960068
5300108,RIDE Distrito Federal (Brasilia),-15.79408736,-47.88790548,1115.248357,130796,535079,1176935,1601094,2952276,3710543
2304400,RM Fortaleza,-3.723805035,-38.58992756,29.908523,507108,857980,1699390,2460827,3056769,3610379
2611606,RM Recife,-8.062762483,-34.88894194,10.330669,797234,1060701,2313216,2840142,3255288,3586441
4106902,RM Curitiba,-25.432956,-49.27184789,910.893913,361309,609026,1532329,2101681,2768394,3168980
3509502,RM Campinas,-22.9073425,-47.06015627,688.987137,217219,375864,664559,847595,2338148,2798477
5208707,RM Goiania,-16.67330977,-49.25581428,753.922667,155013,326864,717526,922222,1743297,2173006
1302603,RM Manaus,-3.134691491,-60.02333518,34.356331,169357,311622,633392,1011501,1405835,2106866
1501402,RM Belem,-1.459845,-48.48782569,8.471477,389538,633374,1045533,1434634,1838763,2100319
3205309,RM Grande Vitoria,-20.32015379,-40.32220873,0,85242,133019,207747,258777,1438596,1685384
3548500,RM Baixada Santista (Santos),-23.9337375,-46.33137085,16.189961,262997,345630,416681,428923,1476820,1663082
2408102,RM Natal,-5.750898538,-35.25225473,44.469863,162537,264379,416898,606887,1124669,1350840
2111300,RM Grande Sao Luis,-2.531885985,-44.29791856,29.563573,159628,265486,449432,696371,870028,1327881
2704302,RM Maceio,-9.660822152,-35.70162991,11.017791,168055,263670,399298,629041,1040638,1210869
2507507,RM Joao Pessoa,-7.14938202,-34.87338481,47.710895,155117,221546,329942,497600,597934,1198675
2211001,RIDE Grande Teresina,-5.086341952,-42.80527046,87.951179,144799,220487,377774,599272,715360,1151088
4209102,RM Norte/Nordeste Catarinense (Joinville),-26.30451765,-48.84940914,10.296596,70687,126058,235812,346332,906982,1094570
4205407,RM Florianopolis,-27.58779555,-48.54763738,21.971098,98520,138337,187871,254941,816315,1012831
