AROKATO,nom,IDREG,pays,type,lat,long,SITU,CAP,CAPNAT,GAS,typharris1963,1959,1970,1979,1989,2002,2010,T5970,T7079,T7989,T8902,T0210
AR45,Moscou,RUS14,Russie,gorod,55.75,37.61666667,O,1,1,0,1A1,7186.148,9061.219,10480.741,11625.098,13028.998,14425.208,2.130081276,1.630208417,1.041658007,0.880865504,1.280627479
AR40,Saint-Pétersbourg,RUS57,Russie,gorod,59.95,30.31666667,O,1,0,0,1A1,3266.874,3983.679,4568.107,5005.419,4661.219,4848.742,1.819742789,1.532661405,0.918414073,-0.546532766,0.494245985
AR22401,Nijni-Novgorod,RUS42,Russie,gorod,56.31666667,44,O,1,0,0,1B1,1256.441,1594.859,1825.479,1954.795,1795.488,1723.12,2.191878214,1.511950353,0.686776671,-0.651778016,-0.51293311
AUA05117,Donetsk,UKR06,Ukraine,gorod,48,37.8,O,1,0,0,1B1,1234.109,1461.824,1621.354,1722.085,1568.821,1491.507,1.551325665,1.157499235,0.604561776,-0.714447894,-0.629723248
AUA26101,Kiiv,UKR11,Ukraine,gorod,50.43,30.52,O,1,1,0,1A1,1115.549,1661.009,2188.695,2663.763,2688.169,2862.217,3.685175419,3.11280102,1.98376326,0.070181687,0.787286622
AUZ12112,Tashkent,OUZ00,Ouzbekistan,gorod,41.32,69.25,E,1,1,0,1A1,1037.834,1578.798,2014.625,2437.877,2526.372,2601.36,3.887552729,2.745562088,1.925243372,0.274659899,0.366293782
AUA20116,Kharkiv,UKR22,Ukraine,gorod,50,36.25,O,1,0,0,1B1,1034.281,1318.07,1543.164,1710.411,1564.327,1546.603,2.22867239,1.76728273,1.034300674,-0.684399716,-0.142335585
AR50401,Novossibirsk,RUS44,Russie,gorod,55.03333333,82.91666667,E,1,0,0,1B1,972.987,1299.4,1491.498,1661.119,1627.866,1687.247,2.664770016,1.543776826,1.082926534,-0.155429215,0.448857511
AUA04106,Dniepropetrovsk,UKR05,Ukraine,gorod,48.45,34.98,O,1,0,0,1B1,954.915,1222.508,1422.972,1577.99,1430.723,1356.913,2.271202673,1.701458866,1.039407125,-0.750799504,-0.659905915
AR75401,Tchéliabinsk,RUS66,Russie,gorod,55.15,61.4,E,1,0,1,1B1,951.859,1126.889,1264.863,1377.316,1303.838,1330.245,1.546371781,1.291638029,0.855366147,-0.42083856,0.25095077
