ID,Name,Long,Lat,1790,1800,1810,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1941,1950,1960,1970,1980,1990,2000,2010
100988,Albertville,-86.211261,34.265362,,,,,,,,,,,,,,,,,,,,,65622,70832,82231,93019
101132,Alexander City,-85.936008,32.933157,,,,,,,,,,,,,,,,6640,,,,,,15258,15008,
101708,Andalusia,-86.479468,31.309321,,,,,,,,,,,,,,,5154,6886,6886,9162,10263,10092,10415,9269,8794,
101852,Anniston,-85.826664,33.663003,,,,,,,,,,,9998,9695,12794,17734,22345,25523,25523,31066,33657,31533,119761,116034,112249,118572
103076,Auburn,-85.480823,32.597684,,,,,,,,,,,,,,,,,,25234,31939,41794,50367,56724,115092,140247
105980,Bessemer,-86.956569,33.391343,,,,,,,,,,,,6358,10864,18674,20721,22826,,,,,,,,
107000,Birmingham,-86.81274,33.524755,,,,,,,,,,,26178,38415,132685,183809,284181,293516,459930,558928,634864,739274,847487,907810,1052238,1128047
118976,Cullman,-86.844996,34.177508,,,,,,,,,,,,,,,,5074,,,45572,52445,61642,67613,77483,80406
119648,Daphne,-87.88644,30.631289,,,,,,,,,,,,,,,,,,,,,,98280,140415,182265
120104,Decatur,-86.983392,34.580992,,,,,,,,,,,,,,,15593,16604,16604,19974,29217,38044,42002,131556,145867,153829
121184,Dothan,-85.407258,31.227225,,,,,,,,,,,,,7016,10034,16046,17194,17194,21584,31440,36733,48750,81331,130861,145639
124184,Enterprise,-85.844484,31.327476,,,,,,,,,,,,,,,,,,,30583,87810,86354,89873,92744,49948
124568,Eufaula,-85.153774,31.88937,,,,,,,,,,,,,,,5208,6269,6269,6906,8357,9102,12097,13539,13908,
126896,Florence,-87.66286,34.820287,,,,,,,,,,,6012,6478,6689,17211,17950,28491,22976,34646,45140,47146,135065,131327,142950,147137
127616,Fort Payne,-85.706648,34.453829,,,,,,,,,,,,,,,,4424,,,,,11485,12018,12938,
128696,Gadsden,-86.010356,34.010147,,,,,,,,,,,,,10557,20169,32586,36975,72580,93892,96980,94144,103057,99840,103459,104430
131912,Greenville,-86.627567,31.831273,,,,,,,3073,3177,2856,2471,2806,3162,3377,3471,3985,5075,,,,,,,,
137000,Huntsville,-86.596296,34.712341,,,,,,,,3634,4907,4977,7995,8068,7611,8018,11554,13050,13050,16437,117348,228239,242971,293047,342376,417593
138416,Jasper,-87.277174,33.842347,,,,,,,,,,,,,,,5313,6847,6847,8589,10799,,,,,
141296,Lanett,-85.199684,32.863424,,,,,,,,,,,,,,,5204,6141,6141,7434,7674,6908,6897,8895,,
146768,Marion,-87.317284,32.632838,,,,,,,,,,,,,,,,2382,,,,,,,,
150000,Mobile,-88.10328,30.679523,,,,,3194,12672,20515,29258,32034,29132,31076,38469,51521,60777,68202,84804,141974,231105,314301,317308,364980,378643,399843,412992
151000,Montgomery,-86.279118,32.361538,,,,,,2179,8728,8843,10588,16713,21883,30346,38136,43464,66079,78084,114420,138965,169210,201325,272687,292517,346528,374536
157048,Opelika,-85.389404,32.647183,,,,,,,,,,,,,,,6156,8487,8487,,,,,,,
157648,Ozark,-85.642009,31.448169,,,,,,,,,,,,,,,,,,,,,,,,50251
162328,Prattville,-86.451305,32.459135,,,,,,,,,,,,,,,,,,,,13116,,,,
168736,Scottsboro,-86.04257,34.651368,,,,,,,,,,,,,,,,,41802,38998,36681,39202,51407,47796,53926,53227
169120,Selma,-87.024733,32.416416,,,,,,,3073,3177,6484,7529,7622,8713,13649,15589,18012,19834,55245,56270,56667,55296,53981,48130,46365,43820
174352,Sylacauga,-86.251068,33.17836,,,,,,,,,,,,,,,,6269,,,,,,,,
